İlan Tarihi,İlan no,Net m²,Brüt m²,Oda Sayısı,Banyo Sayısı,Binadaki Kat Sayısı,Isıtma Tipi,Konut Şekli,Bulunduğu Kat,Bina Yaşı,Kullanım Durumu,Yapının Durumu,Kira Getirisi,Kimden,Krediye Uygun,Location,Price,"Görüntülü Ev Gezintisi
?",Hayvan Dostu Patili Evler,Mobilya Durumu,Takasa Uygun,Aidat,Tapu Durumu,Ada,Parsel,Yapı Tipi
30 Ağustos 2024,5049965,140,155m²,3+1,1,5,Kombi (Doğalgaz),Bahçe Katı,1,0,Kiracılı,İkinci El,,,Hayır,"Yarenler, Akşehir
, Konya",3.575.500 TL,?,Evet,Eşyasız,Evet,,,,,
30 Ağustos 2024,4992842,150,160m²,3+1,2,,,,,,,,,,Hayır,"Yarenler, Akşehir
, Konya",4.100.000 TL,,,,,,,,,
29 Ağustos 2024,4007144,120,135m²,3+1,1,5,Kombi (Doğalgaz),Ara Kat,4,21-25 arası,Mülk Sahibi,İkinci El,9.000 TL (aylık),Danışman,Evet,"Yarenler, Akşehir
, Konya",1.700.000 TL,,,,,50 TL (aylık),,,,
30 Ağustos 2024,5089748,90,115m²,2+1,1,1,Soba (Kömür),,,16-20 arası,Kiracılı,İkinci El,,,Hayır,"Erler, Karatay
, Konya",2.300.000 TL,,,,,,,,,
29 Ağustos 2024,5060449,130,140m²,3+1,2,5,Kombi (Doğalgaz),En Üst Kat,5,26-30 arası,Boş,İkinci El,8.000 TL (aylık),Danışman,Evet,"İstasyon, Akşehir
, Konya",1.420.000 TL,,,,,,,,,
30 Ağustos 2024,5101584,130,160m²,3+1,1,2,Kombi (Doğalgaz),Giriş Kat,Yüksek Giriş,11-15 arası,Kiracılı,İkinci El,23.000 TL (aylık),Danışman,Evet,"Alavardı, Meram
, Konya",3.050.000 TL,?,,Eşyasız,,250 TL (aylık),,,,
29 Ağustos 2024,5121724,120,135m²,2+1,1,4,Kombi (Doğalgaz),Giriş Kat,Giriş Katı,21-25 arası,,,,,Hayır,"Yarenler, Akşehir
, Konya",1.630.000 TL,,,,Evet,,,,,
29 Ağustos 2024,5100722,125,130m²,3+1,1,4,,En Üst Kat,4,31-35 arası,Boş,İkinci El,8.000 TL (aylık),Danışman,Evet,"İstasyon, Akşehir
, Konya",1.750.000 TL,,,,,,,,,
29 Ağustos 2024,5121520,150,210m²,3+1,2,10-20 arası,Yerden Isıtma,,1,4,Boş,,,,Hayır,"Yazır, Selçuklu
, Konya",5.300.000 TL,,,,Evet,,,,,
29 Ağustos 2024,5121500,100,150m²,2+1,1,1,Kat Kaloriferi,,Bahçe katı,11-15 arası,Boş,,,,Hayır,"Erler, Karatay
, Konya",4.500.000 TL,,,,,,,,,
29 Ağustos 2024,5121521,220,250m²,4+2,2,2,Soba (Kömür),,Bahçe katı,16-20 arası,Mülk Sahibi,,,,Hayır,"Erler, Karatay
, Konya",4.000.000 TL,,,,,,,,,
28 Ağustos 2024,5048458,125,165m²,3+1,1,5,,En Üst Kat,5,0,Boş,,0 TL (aylık),,Evet,"Hacı Hasan, Karatay
, Konya",2.650.000 TL,,,Eşyasız,Evet,0 TL (aylık),,,,
29 Ağustos 2024,5121527,115,155m²,3+1,1,6,Yerden Isıtma,,3,,Boş,,,,Hayır,"Akabe, Karatay
, Konya",3.850.000 TL,,,,,,,,,
28 Ağustos 2024,4018357,145,160m²,3+1,2,4,Kombi (Doğalgaz),En Üst Kat,Kot 4,0,Boş,Yapım Aşamasında,2.500 TL (aylık),Danışman,Evet,"Gazi, Akşehir
, Konya",3.250.000 TL,,Evet,Eşyalı (Mobilyalı),Evet,50 TL (aylık),,,,
28 Ağustos 2024,5048045,160,178m²,3+1,1,,,,,,,,,,Hayır,"Yarenler, Akşehir
, Konya",4.250.000 TL,,,,,,,,,
30 Ağustos 2024,5122539,140,160m²,3+1,1,5,,En Üst Kat,5,21-25 arası,Mülk Sahibi,İkinci El,12.000 TL (aylık),,Hayır,"Yarenler, Akşehir
, Konya",1.600.000 TL,?,,Eşyasız,,,Bilinmiyor,,,
28 Ağustos 2024,5088571,155,165m²,3+1,1,,,,,,,,,,Hayır,"Yarenler, Akşehir
, Konya",2.590.000 TL,,,,,,,,,
28 Ağustos 2024,5120884,85,115m²,2+1,1,5,Yerden Isıtma,,3,,Boş,,,,Hayır,"Keçeciler, Karatay
, Konya",2.300.000 TL,,,,Evet,,,,,
28 Ağustos 2024,5120814,90,115m²,2+1,1,1,Soba (Kömür),,Bahçe katı,16-20 arası,Kiracılı,,,,Hayır,"Erler, Karatay
, Konya",2.000.000 TL,,,,,,,,,
28 Ağustos 2024,5088550,145,150m²,3+1,2,,,,,,,,,,Hayır,"Yarenler, Akşehir
, Konya",4.500.000 TL,,,,,,,,,
28 Ağustos 2024,5088661,230,250m²,4+1,2,5,Kalorifer (Doğalgaz),,2,2,,,18.000 TL (aylık),Danışman,Hayır,"Yıldırım, Akşehir
, Konya",4.950.000 TL,,,,,200 TL (aylık),,,,
27 Ağustos 2024,4961901,100,120m²,2+1,1,1,,Bahçe Katı,Müstakil,21-25 arası,Boş,İkinci El,,Danışman,Hayır,"Yeniköy, Akşehir
, Konya",3.000.000 TL,,,,,0 TL (aylık),,,,
28 Ağustos 2024,5088664,128,140m²,3+1,1,4,Kalorifer (Doğalgaz),,4,21-25 arası,,,8.000 TL (aylık),Danışman,Hayır,"Altunkalem, Akşehir
, Konya",1.950.000 TL,,,,,100 TL (aylık),,,,
28 Ağustos 2024,5088672,180,195m²,3+1,2,5,Kalorifer (Doğalgaz),Bahçe Katı,Bahçe katı,0,,Sıfır,22.000 TL (aylık),Danışman,Hayır,"Yarenler, Akşehir
, Konya",4.750.000 TL,,,,,,,,,
26 Ağustos 2024,5033863,275,350m²,7+1,3,2,,,Bahçe katı,2,Boş,,0 TL (aylık),,Evet,"Parsana, Selçuklu
, Konya",21.000.000 TL,,,Eşyasız,,0 TL (aylık),Kat Mülkiyeti,,,
26 Ağustos 2024,5033846,170,210m²,4+1,2,10-20 arası,,,5,11-15 arası,,,0 TL (aylık),,Evet,"Parsana, Selçuklu
, Konya",8.500.000 TL,,,Eşyasız,Evet,0 TL (aylık),Kat Mülkiyeti,,,
26 Ağustos 2024,5041072,155,217m²,4+1,2,3,Floor Heating,,2,0,Vacant,,0 TL (aylık),,Yes,"Parsana, Selçuklu
, Konya",4.600.000 TL,,,Unfurnished,Yes,0 TL (aylık),Condominium,,,
26 Ağustos 2024,5087147,135,160m²,3+1,1,5,Kombi (Doğalgaz),En Üst Kat,5,5,Mülk Sahibi,İkinci El,15.000 TL (aylık),Danışman,Evet,"Yeni, Akşehir
, Konya",3.400.000 TL,,,,,,,,,
26 Ağustos 2024,5100406,140,160m²,3+1,2,5,Kombi (Doğalgaz),Ara Kat,3,0,Boş,Yapım Aşamasında,0 TL (aylık),Danışman,Evet,"Yeni, Akşehir
, Konya",3.000.000 TL,,,Eşyasız,,0 TL (aylık),,,,
26 Ağustos 2024,5100405,140,160m²,3+1,2,4,Kombi (Doğalgaz),Ara Kat,2,0,Boş,Yapım Aşamasında,15.000 TL (aylık),Danışman,Evet,"İstasyon, Akşehir
, Konya",3.350.000 TL,,,Eşyasız,,0 TL (aylık),,,,
26 Ağustos 2024,5047396,150,180m²,3+1,1,5,Kombi (Doğalgaz),Ara Kat,3,5,,,,,Hayır,"Seyran, Akşehir
, Konya",2.900.000 TL,,,,Evet,,,,,
26 Ağustos 2024,5059873,120,135m²,2+1,1,,,,,,,,,,Hayır,"Eskikale, Akşehir
, Konya",1.350.000 TL,,,,,,,,,
26 Ağustos 2024,5047349,120,135m²,2+1,1,,,,,,,,,,Hayır,"Yeni, Akşehir
, Konya",1.700.000 TL,,,,,,,,,
26 Ağustos 2024,5087308,140,150m²,3+1,2,,,,,,,,,,Hayır,"Yarenler, Akşehir
, Konya",3.350.000 TL,,,,,,,,,
26 Ağustos 2024,5087171,135,150m²,3+1,2,,,,,,,,,,Hayır,"Yarenler, Akşehir
, Konya",3.250.000 TL,,,,,,,,,
26 Ağustos 2024,5087184,110,125m²,2+1,2,,,,,,,,,,Hayır,"Yarenler, Akşehir
, Konya",2.750.000 TL,,,,,,,,,
25 Ağustos 2024,5100011,145,165m²,3+1,1,5,Kombi (Doğalgaz),,5,5,Boş,Sıfır,15.000 TL (aylık),Danışman,Evet,"Yeni, Akşehir
, Konya",2.950.000 TL,,,Eşyasız,Evet,0 TL (aylık),Kat Mülkiyeti,,,
25 Ağustos 2024,5058950,180,210m²,4+1,2,6,Kombi (Doğalgaz),,3,5,,İkinci El,0 TL (aylık),,Evet,"Sancak, Selçuklu
, Konya",5.150.000 TL,,,Eşyasız,,0 TL (aylık),Kat Mülkiyeti,,,
25 Ağustos 2024,5058937,180,210m²,4+1,1,2,Kombi (Doğalgaz),,1,3,,İkinci El,0 TL (aylık),,Evet,"Erenköy, Selçuklu
, Konya",13.750.000 TL,,,Eşyalı (Mobilyalı),Evet,0 TL (aylık),,,,
25 Ağustos 2024,5033842,160,204m²,4+1,2,4,,,4,1,,,0 TL (aylık),,Evet,"Selahaddin Eyyubi, Selçuklu
, Konya",5.700.000 TL,,,Eşyasız,,0 TL (aylık),Kat Mülkiyeti,,,
25 Ağustos 2024,5058938,180,210m²,4+1,2,6,,,3,5,,,0 TL (aylık),,Evet,"Sancak, Selçuklu
, Konya",5.150.000 TL,,,Eşyasız,,0 TL (aylık),Kat Mülkiyeti,,,
25 Ağustos 2024,5058943,420,520m²,8+1,2,2,Yerden Isıtma,,Bahçe katı,0,Boş,,0 TL (aylık),,Hayır,"Buhara, Selçuklu
, Konya",32.500.000 TL,,,Eşyasız,,0 TL (aylık),Kat Mülkiyeti,,,
26 Ağustos 2024,5087163,135,150m²,3+1,2,,,,,,,,,,Hayır,"Yarenler, Akşehir
, Konya",3.100.000 TL,,,,,,,,,
26 Ağustos 2024,5047400,145,180m²,3+1,2,,,,,,,,,,Hayır,"Yarenler, Akşehir
, Konya",3.150.000 TL,,,,,,,,,
26 Ağustos 2024,5119397,120,140m²,3+1,1,5,Kalorifer (Doğalgaz),,5,21-25 arası,,,13.000 TL (aylık),Danışman,Hayır,"Yarenler, Akşehir
, Konya",1.950.000 TL,,,,,100 TL (aylık),,,,
25 Ağustos 2024,5086940,105,115m²,2+1,1,4,Soba (Kömür),En Üst Kat,4,31-35 arası,Boş,,0 TL (aylık),,Evet,"Şemsitebrizi, Karatay
, Konya",1.250.000 TL,,,Eşyasız,,0 TL (aylık),,,,
25 Ağustos 2024,3527985,414,415m²,4+2,2,1,Soba (Kömür),Giriş Kat,Bahçe katı,31-35 arası,Boş,İkinci El,,Danışman,Hayır,"İstasyon, Akşehir
, Konya",1.000.000 TL,,,,Evet,0 TL (aylık),,,,
12 Eylül 2024,4422336,130,140m²,3+1,1,5,Kombi (Doğalgaz),Ara Kat,4,21-25 arası,Mülk Sahibi,İkinci El,2.500 TL (aylık),Danışman,Evet,"Yarenler, Akşehir
, Konya",2.050.000 TL,?,,,,,,,,
12 Eylül 2024,5001589,132,155m²,3+1,1,5,Kombi (Doğalgaz),,1,16-20 arası,,,8.000 TL (aylık),,Hayır,"Yarenler, Akşehir
, Konya",2.050.000 TL,,,,,,,,,
29 Eylül 2024,5144512,200,250m²,9+1,2,2,Kombi (Doğalgaz),Dubleks,Yüksek Giriş,0,Boş,Sıfır,50.000 TL (aylık),Danışman,Evet,"Sille Ak, Selçuklu
, Konya",14.000.000 TL,?,,Eşyasız,Evet,,Kat Mülkiyeti,,,
29 Eylül 2024,5144504,150,175m²,3+1,1,2,Kombi (Doğalgaz),Giriş Kat,Giriş Katı,0,Boş,Sıfır,50.000 TL (aylık),Danışman,Hayır,"Sakarya, Selçuklu
, Konya",8.300.000 TL,?,,,,,,,,
29 Eylül 2024,5144510,140,170m²,4+1,1,4,Kombi (Doğalgaz),En Üst Kat,4,16-20 arası,Mülk Sahibi,İkinci El,20.000 TL (aylık),Danışman,Evet,"Aydınlıkevler, Selçuklu
, Konya",3.500.000 TL,?,,Eşyasız,Evet,,İskanı Alınmış,,,
29 Eylül 2024,5144515,140,170m²,3+1,2,3,,Ara Kat,2,0,Boş,Sıfır,30.000 TL (aylık),Danışman,Hayır,"Selahaddin Eyyubi, Selçuklu
, Konya",4.000.000 TL,?,,Eşyasız,,,Kat Mülkiyeti,,,
29 Eylül 2024,5144530,120,150m²,3+1,1,3,Kombi (Doğalgaz),Giriş Kat,Yüksek Giriş,0,Boş,Sıfır,25.000 TL (aylık),Danışman,Hayır,"Mehmet Akif, Selçuklu
, Konya",3.400.000 TL,?,,Eşyasız,,,Kat Mülkiyeti,,,
29 Eylül 2024,5144525,120,160m²,3+1,1,3,Kombi (Doğalgaz),En Üst Kat,3,0,Boş,,25.000 TL (aylık),Danışman,Hayır,"Selahaddin Eyyubi, Selçuklu
, Konya",3.700.000 TL,?,,Eşyasız,,,Kat Mülkiyeti,,,
29 Eylül 2024,5144470,170,190m²,4+1,2,5,Yerden Isıtma,,Yüksek Giriş,3,Kiracılı,,,,Evet,"Yazır, Selçuklu
, Konya",5.500.000 TL,,,,,,,,,
29 Eylül 2024,5144467,150,190m²,4+1,2,5,Kombi (Doğalgaz),Bahçe Katı,Yüksek Giriş,3,Kiracılı,İkinci El,,,Evet,"Yazır, Selçuklu
, Konya",5.500.000 TL,,,,,,,,,
29 Eylül 2024,5144472,110,120m²,2+1,1,5,Kombi (Doğalgaz),,4,26-30 arası,Kiracılı,,,,Evet,"Binkonutlar, Selçuklu
, Konya",1.950.000 TL,,,,,,,,,
28 Eylül 2024,5144130,175,205m²,4+1,2,9,Merkezi Sistem (Isı Payı Ölçer),,3,4,Mülk Sahibi,,,,Evet,"Yazır, Selçuklu
, Konya",6.700.000 TL,,,,Evet,800 TL (aylık),,,,
28 Eylül 2024,5144129,110,120m²,2+1,1,5,Kombi (Doğalgaz),,4,26-30 arası,Kiracılı,,,,Evet,"Binkonutlar, Selçuklu
, Konya",1.950.000 TL,,,,,,,,,
20 Eylül 2024,4983263,145,185m²,4+1,2,4,Yerden Isıtma,Giriş Kat,Zemin Kat,0,Boş,Sıfır,30.000 TL (aylık),Danışman,Evet,"Selahaddin Eyyubi, Selçuklu
, Konya",4.850.000 TL,?,,Eşyasız,Evet,,İskanı Alınmış,,,
19 Eylül 2024,5138340,142,160m²,3+1,1,6,Kombi (Doğalgaz),Tek Kat,5,1,Boş,Sıfır,6.000 TL (aylık),,Evet,"Barbaros, Ereğli
, Konya",3.300.000 TL,,,,,70 TL (aylık),,,,
20 Eylül 2024,5139217,130,140m²,2+1,1,5,Kombi (Doğalgaz),Tek Kat,Ara Kat,,Boş,Sıfır,15.000 TL (aylık),,Evet,"Namık Kemal, Ereğli
, Konya",3.150.000 TL,,,,,,,,,
20 Eylül 2024,5139211,130,140m²,2+1,1,5,Kombi (Doğalgaz),Tek Kat,Yüksek Giriş,,Boş,Sıfır,14.000 TL (aylık),,Evet,"Namık Kemal, Ereğli
, Konya",3.120.000 TL,,,,,,,,,
19 Eylül 2024,5138345,143,160m²,3+1,1,6,Kombi (Doğalgaz),Tek Kat,3,1,Boş,Sıfır,9.000 TL (aylık),,Evet,"Barbaros, Ereğli
, Konya",3.200.000 TL,,,,,70 TL (aylık),,,,
6 Eylül 2024,5127724,190,220m²,4+1,2,10-20 arası,Merkezi Sistem (Isı Payı Ölçer),,7,4,Mülk Sahibi,,,,Evet,"Kılınçarslan, Selçuklu
, Konya",6.250.000 TL,,,,,550 TL (aylık),,,,
3 Eylül 2024,4832952,110,165m²,3+1,1,3,Kombi (Doğalgaz),Giriş Kat,Zemin Kat,0,Boş,Sıfır,15.000 TL (aylık),Danışman,Evet,"Selahaddin Eyyubi, Selçuklu
, Konya",3.400.000 TL,?,,Eşyasız,,,İskanı Alınmış,,,
3 Eylül 2024,4832977,90,120m²,2+1,1,3,Kombi (Doğalgaz),Giriş Kat,Zemin Kat,0,Boş,Sıfır,12.000 TL (aylık),Danışman,Evet,"Selahaddin Eyyubi, Selçuklu
, Konya",2.990.000 TL,?,,Eşyasız,,,İskanı Alınmış,,,
4 Eylül 2024,5125950,230,250m²,5+1,2,9,Merkezi Sistem (Isı Payı Ölçer),Tek Kat,5,11-15 arası,Boş,,,,Evet,"Havzan, Meram
, Konya",11.250.000 TL,,,,,,,,,
3 Eylül 2024,5125175,200,224m²,4+1,2,10-20 arası,Merkezi Sistem (Isı Payı Ölçer),Tek Kat,8,6-10 arası,Kiracılı,,,,Evet,"Yenişehir, Meram
, Konya",12.400.000 TL,,,,,,,,,
31 Ağustos 2024,5123329,155,165m²,3+1,1,3,Kombi (Doğalgaz),Tek Kat,1,26-30 arası,Boş,İkinci El,12.000 TL (aylık),,Evet,"Hıdırlı, Ereğli
, Konya",1.650.000 TL,,,,,,,,,
31 Ağustos 2024,5123330,152,165m²,3+1,1,4,Kombi (Doğalgaz),Tek Kat,3,5,Kiracılı,İkinci El,2.500 TL (aylık),,Evet,"Mehmet Akif, Ereğli
, Konya",2.900.000 TL,,,,,,,,,
26 Ağustos 2024,5119675,165,175m²,3+1,1,4,Kombi (Doğalgaz),Tek Kat,4,11-15 arası,Boş,İkinci El,12.000 TL (aylık),,Evet,"Mehmet Akif, Ereğli
, Konya",2.630.000 TL,,,,,,,,,
26 Ağustos 2024,5119401,155,165m²,3+1,1,6,Merkezi Sistem,Tek Kat,1,,Boş,Sıfır,12.000 TL (aylık),,Evet,"Hıdırlı, Ereğli
, Konya",3.200.000 TL,,,,,,,,,
26 Ağustos 2024,5119324,120,135m²,2+1,1,6,Kombi (Doğalgaz),Tek Kat,2,1,Boş,Sıfır,5.000 TL (aylık),,Evet,"Barbaros, Ereğli
, Konya",3.000.000 TL,,,,,70 TL (aylık),,,,
25 Ağustos 2024,4554764,110,160m²,3+1,1,3,Kombi (Doğalgaz),Giriş Kat,2,0,Boş,Sıfır,25.000 TL (aylık),,Evet,"Selahaddin Eyyubi, Selçuklu
, Konya",3.650.000 TL,?,,Eşyasız,,,İskanı Alınmış,,,
5 Ekim 2023,4876296,190,220m²,3+1,2,7,Merkezi Sistem,,7,21-25 arası,Kiracılı,İkinci El,0 TL (aylık),,Evet,"Işıklar, Selçuklu
, Konya",2.150.000 TL,,,,,0 TL (aylık),,,,
16 Şubat 2024,5024026,155,170m²,3+1,1,6,Yerden Isıtma,,3,0,Boş,,0 TL (aylık),,Hayır,"Aşağıpınarbaşı, Selçuklu
, Konya",750.000 TL,,,Eşyasız,Evet,0 TL (aylık),,,,
18 Ocak 2024,5008095,130,160m²,3+1,2,3,Yerden Isıtma,Ara Kat,2,0,Boş,Sıfır,0 TL (aylık),,Hayır,"Beyhekim, Selçuklu
, Konya",3.200.000 TL,,,Eşyasız,Evet,0 TL (aylık),İskanı Alınmış,,,
19 Şubat 2024,5025599,130,170m²,3+1,1,6,Kombi (Doğalgaz),,3,0,Boş,,0 TL (aylık),,Evet,"Kayacıkaraplar, Karatay
, Konya",2.850.000 TL,,,Eşyasız,,0 TL (aylık),Kat İrtifakı,,,
